Unidad,Cuad,Nivel,Rasgo,Excavador,Fecha,Context,N frag.,Tamaño frag.,Length,Width,Thickness,Material,Technological Type,Debris,Platform Type,Termination,% Cortex,Portion,Modification,Weight,Notes,Foto,House_Num,Location_Type,Context_Type,Debris_Label
8,23,169-190,House 7 Outside,GHM,22-08-23,,1,2,,,,16,,1,4,2,0,,1,0.63,,x,House 7,Outside,Domestic,Proximal flake
8,18,199-226,House 6,GDD,24-08-23,,1,2,24.83,13.24,4.8,16,4,,2,,0,,1,,MOQ-2400,x,House 6,Unspecified (House),Domestic,Missing
8,16,190-200,House 8 Outside,ENHR,25-08-23,,2,<1,,,,16,,2,0,0,0,0,,0.11,,,House 8,Outside,Domestic,Flake shatter
8,23,190-200,House 7,GDD,24-08-23,,1,1,,,,16,,1,0,3,0,,1,0.45,,,House 7,Unspecified (House),Domestic,Proximal flake
8,24,195-210,Temple 2,SCS,28-08-23,,1,1,,,,16,,1,2,1,0,,,0.23,,,,Other,Temple,Proximal flake
8B,6,160-215,EP Burial,KR,1/9/2023,,1,2,,,,16,,3,,0,0,,,2.05,,,,Other,EP,Angular debris
8B,6,160-215,EP Burial,KR,1/9/2023,,1,1,,,,16,,1,2,0,0,,,0.19,,,,Other,EP,Proximal flake
8B,6,160-215,EP Burial,KR,1/9/2023,,1,2,,,,16,,2,0,2,0,3,1,0.61,,,,Other,EP,Flake shatter
8,24,195-210,Temple 2,SCS,25-08-23,,1,2,,,,16,,1,0,1,0,3,,0.67,,,,Other,Temple,Proximal flake
8A,3,177-199,,YKRA,23/08/23,,1,1,,,,16,,1,2,2,0,1,,0.36,,,,Unknown,No Context,Proximal flake
8,16,?-172,,ENHR,18/08/23,,1,1,,,,16,,3,0,0,0,0,,0.31,,,,Unknown,No Context,Angular debris
8,24,168-203,House 6 Outside,GDD,21/08/23,,1,1,,,,16,,1,2,2,0,1,1,0.12,,,House 6,Outside,Domestic,Proximal flake
