xrf_no,sample_no,unidad,cuad,rasgo,nivel,excavador,fecha,weight (g),notes,type,source?
5156,MOQ-2397,8A,1,House 6 Inside,236-238,scs,22/08/2023,1.42,,,
2183,MOQ-890,8A,1,,211-220,afa/scs,16/08/2023,0.3,,,
2241,MOQ-947,8A,1,,211-220,afa/scs,16/08/2023,0.7,,,
2290,MOQ-996,8A,1,,211-220,sc/af,16/08/2023,0.4,,,
2291,MOQ-997,8A,1,,211-220,sc/af,16/08/2023,0.6,,,
2301,MOQ-1007,8A,1,,211-220,sc/af,16/08/2023,0.4,,,
2376,MOQ-1060,8A,1,,211-220,afa/scs,16/08/2023,0.1,,,
2594,MOQ-1223,8A,1,,211-220,sc/af,16/08/2023,0.2,,,
1966,MOQ-734,8A,1,,220-226,scs,17/08/2023,0.9,,,
1984,MOQ-751,8A,1,,220-226,scs,17/08/2023,1.3,,,
1985,MOQ-752,8A,1,,220-226,scs,17/08/2023,0.5,,,
1986,MOQ-753,8A,1,,220-226,scs,17/08/2023,0.6,,,
1987,MOQ-754,8A,1,,220-226,scs,17/08/2023,0,,,
2235,MOQ-941,8A,1,,220-226,scs,17/08/2023,0.6,,,
2356,MOQ-1040,8A,1,,220-226,scs,17/08/2023,11.6,nucleus,nucleus,
2572,MOQ-1201,8A,1,,220-226,scs,17/08/2023,0.9,,,
2679,MOQ-1285,8A,1,,220-226,scs,17/08/2023,1.4,,,
1963,MOQ-731,8A,1,,226-236,scs,18/08/2023,2,pre-point,preform,
1977,MOQ-744,8A,1,,226-236,scs,18/08/2023,0.4,,,
2571,MOQ-1200,8A,1,,226-236,scs,18/07/2023,1,pre-point,preform,
2729,MOQ-1322,8A,1,,226-236,scs,18/08/2023,0.9,,,
2292,MOQ-998,8A,2,,146-170,scs,17/08/2023,0.4,,,
2313,MOQ-1019,8A,2,,146-170,sc/af,16/08/2023,0.4,,,
5154,MOQ-2395,8A,2,,146-182,scs,17/08/2023,0.8,,,
5125,MOQ-2366,8A,2,,182-202,scs,21/08/2023,0.8,,,
5148,MOQ-2389,8A,3,,159-177,ykra,23/08/2023,1.11,,,
5152,MOQ-2393,8A,3,,159-177,ykra,23/08/2023,0.82,,,
2184,MOQ-891,8A,3,,94-99,fr/scs,16/08/2023,0.6,,,
2288,MOQ-994,8A,3,,94-99,fm/sc,16/08/2023,0.7,,,
2293,MOQ-999,8A,3,,94-99,fm/sc,16/08/2023,1.4,,,
2379,MOQ-1063,8A,3,,94-99,scs,16/08/2023,0.6,,,
2400,MOQ-1084,8A,3,,94-99,fm/sc,16/08/2023,0.5,,,
2593,MOQ-1222,8A,3,,94-99,fm/sc,16/08/2023,0.2,,,
2193,MOQ-900,8A,3,,99-106,ykra,17/08/2023,0.4,,,
2212,MOQ-919,8A,3,,99-106,ykra,17/08/2023,0.7,,,
2213,MOQ-920,8A,3,,99-106,ykra,17/08/2023,0.8,,,
2214,MOQ-921,8A,3,,99-106,ykra,17/08/2023,0.3,,,
2215,MOQ-922,8A,3,,99-106,ykra,17/08/2023,0.2,,,
2216,MOQ-923,8A,3,,99-106,ykra,17/08/2023,0.2,,,
2217,MOQ-924,8A,3,,99-106,ykra,17/08/2023,0.2,,,
2218,MOQ-925,8A,3,,99-106,ykra,17/08/2023,0,,,
2219,MOQ-926,8A,3,,99-106,ykra,17/08/2023,0.1,,,
2264,MOQ-970,8A,3,,99-106,ykra,17/08/2023,0.3,,,
2296,MOQ-1002,8A,3,,99-106,ykra,17/08/2023,0.9,,,
2323,MOQ-1029,8A,3,,99-106,ykr,17/08/2023,0.8,,,
2675,MOQ-1281,8A,3,,99-106,ykra,17/08/2023,0.4,,,
2174,MOQ-881,8A,4,,103-109,ykra,17/08/2023,1,,,
2198,MOQ-905,8A,4,,103-109,ykra,17/08/2023,1.2,,,
2232,MOQ-938,8A,4,,103-109,ykra,17/08/2023,1.1,,,
2278,MOQ-984,8A,4,,103-109,ykra,17/08/2023,0.3,,,
2279,MOQ-985,8A,4,,103-109,ykra,17/08/2023,0.5,,,
2280,MOQ-986,8A,4,,103-109,ykra,17/08/2023,0.2,,,
2281,MOQ-987,8A,4,,103-109,ykra,17/08/2023,0.1,,,
2308,MOQ-1014,8A,4,,103-109,ykr,17/08/2023,0.2,,,
2319,MOQ-1025,8A,4,,103-109,ykra,17/08/2023,0.1,,,
5155,MOQ-2396,8A,4,,106-130,fm/kr,18/08/2023,1.4,,,
